StichtagDatJahr,HalterId,AlterV10Cd,AlterV10Lang,AlterV10Sort,SexCd,SexLang,SexSort,KreisCd,KreisLang,KreisSort,QuarCd,QuarLang,QuarSort,Rasse1Text,Rasse2Text,RasseMischlingCd,RasseMischlingLang,RasseMischlingSort,RassentypCd,RassentypLang,RassentypSort,GebDatHundJahr,AlterVHundCd,AlterVHundLang,AlterVHundSort,SexHundCd,SexHundLang,SexHundSort,HundefarbeText,AnzHunde
2021,15456,40,40- bis 49-Jährige,5,1,männlich,1,2,Kreis 2,2,21,Wollishofen,21,Chihuahua,,1,Rassehund,1,K,Kleinwüchsig,1,2015,5,5-Jährige,5,2,weiblich,2,schwarz/weiss,1
2021,15639,60,60- bis 69-Jährige,7,1,männlich,1,11,Kreis 11,11,119,Seebach,119,Malteser,,1,Rassehund,1,K,Kleinwüchsig,1,2013,7,7-Jährige,7,2,weiblich,2,weiss,1
2021,18010,60,60- bis 69-Jährige,7,1,männlich,1,3,Kreis 3,3,34,Sihlfeld,34,Pit Bull Terrier,,1,Rassehund,1,II,Rassentypenliste II,3,2003,17,17-Jährige,17,1,männlich,1,schwarz/weiss,1
2021,18020,50,50- bis 59-Jährige,6,1,männlich,1,9,Kreis 9,9,92,Altstetten,92,Labrador Retriever,,1,Rassehund,1,I,Rassentypenliste I,2,2011,9,9-Jährige,9,2,weiblich,2,schwarz,1
2021,18130,20,20- bis 29-Jährige,3,1,männlich,1,11,Kreis 11,11,119,Seebach,119,Pomeranian,,1,Rassehund,1,K,Kleinwüchsig,1,2017,3,3-Jährige,3,1,männlich,1,weiss,1
2021,18254,60,60- bis 69-Jährige,7,2,weiblich,2,11,Kreis 11,11,115,Oerlikon,115,Bolonka Zwetna,,1,Rassehund,1,K,Kleinwüchsig,1,2017,3,3-Jährige,3,1,männlich,1,weiss,1
2021,18360,40,40- bis 49-Jährige,5,2,weiblich,2,3,Kreis 3,3,31,Alt-Wiedikon,31,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,I,Rassentypenliste I,2,2010,10,10-Jährige,10,2,weiblich,2,weiss,1
2021,18416,60,60- bis 69-Jährige,7,1,männlich,1,7,Kreis 7,7,72,Hottingen,72,Zwergspitz,,1,Rassehund,1,K,Kleinwüchsig,1,2016,4,4-Jährige,4,1,männlich,1,weiss,1
2021,18462,60,60- bis 69-Jährige,7,1,männlich,1,6,Kreis 6,6,63,Oberstrass,63,Border Collie,,1,Rassehund,1,I,Rassentypenliste I,2,2015,5,5-Jährige,5,1,männlich,1,tricolor,1
2021,19004,50,50- bis 59-Jährige,6,1,männlich,1,5,Kreis 5,5,52,Escher Wyss,52,Malteser,,1,Rassehund,1,K,Kleinwüchsig,1,2014,6,6-Jährige,6,1,männlich,1,weiss,1
